FruitID,Weight_g,Diameter_mm,Length_mm,DryMatter_pct,Brix,Firmness_kgf,SkinDefects_pct,ShapeIndex,Grade
46,84.2,62.3,72.4,15.5,7.3,5.2,0.1,0.86,B
47,88.1,49.7,73.6,14.7,5.9,7.3,3.8,0.68,B
48,110.9,57.9,72.7,15.8,5.8,7.3,1,0.8,B
49,100.2,62.5,73.6,17.1,7.2,6,0.2,0.85,A
50,68.6,57.3,73.5,16.1,5.2,5.4,0.1,0.78,Reject
51,99.9,60.9,65.8,15.3,4.8,5.8,8,0.93,B
52,89.2,59.4,74.2,16.9,6.2,5.8,0.9,0.8,B
53,84.8,59.4,69.7,14.1,5.3,5.5,1.8,0.85,B
54,104.2,56.9,68.2,15.2,5.4,5.9,9,0.83,B
55,110.5,53.1,68.1,15.2,7,5.7,1.9,0.78,B
56,109,53.5,73.5,13.6,7.2,5.2,0.2,0.73,C
57,82.4,60.8,71.2,14.9,7.1,4.3,2.4,0.85,B
58,90.4,58.1,66.1,12.4,7.4,5,0.3,0.88,C
59,100,57.4,73.7,18.4,7.5,6.3,0.3,0.78,A
60,109.6,56.3,67,14.1,4.8,5.5,5.7,0.84,B
61,87.8,56.8,72.5,17.9,6.9,5.8,1,0.78,B
62,92.2,62.2,72.8,15.6,6.1,5.2,3.4,0.85,B
63,78.4,56.7,75.1,16.3,5.9,4.4,2.1,0.75,C
64,77.1,52.6,78.2,14.8,6.9,5.3,0.8,0.67,C
65,107.2,61,67.2,15.8,5.1,4.5,2.2,0.91,B
66,115.3,57.2,71.8,16.5,5.1,4.4,0.2,0.8,B
67,93.9,58.1,71,16.5,7,6.7,1.3,0.82,A
68,110.1,64.4,73.5,16.7,6.9,5.1,2.2,0.88,A
69,100.4,57.9,72.8,14.9,6.6,4.8,0.8,0.8,B
70,85.3,59.2,70.8,14.8,5.8,7.1,3.2,0.84,B
71,100.4,53.3,70.5,13.1,7.1,6.3,0.2,0.76,C
72,118.1,57.1,68.1,16.3,7,5.1,2,0.84,A
73,94.5,60.4,75.5,17.1,6.6,5.9,3.8,0.8,A
74,118.5,51.8,73.6,17.9,5.6,5.3,1.7,0.7,B
75,60,58.8,75.2,16,6.2,4.8,6.2,0.78,Reject
76,107.3,58.4,70.9,14.4,7.2,6,3,0.82,B
77,96.3,58.2,69.7,13,7.6,5.2,9.5,0.83,C
78,90.5,62.1,68.2,17.1,6.2,5.6,1,0.91,B
79,96.4,59.3,73.3,12.8,6.3,6.5,8.4,0.81,C
80,65.2,63.9,68.4,15,6.4,6.4,2.8,0.93,Reject
81,91.7,54,78.5,15.2,6.7,4.9,4.1,0.69,B
82,100.4,58.5,67.4,15.4,6,6,7,0.87,B
83,117.2,58.3,73,15.6,4.5,4.4,2.4,0.8,B
84,87.2,53.7,77.5,15.7,7.5,6,5.9,0.69,B
85,82.9,61.8,74.1,11.9,7.9,5.6,2.3,0.83,C
86,87.5,67.3,72.6,15.5,6,5.9,2.7,0.93,B
87,108.7,57.9,68.6,12.2,5.6,5.2,1.8,0.84,C
88,99.9,60,67.2,16.6,6.4,7.6,0.5,0.89,B
89,87.1,58.3,74.7,14.7,6.3,4.6,2.4,0.78,B
90,102.7,55.1,77.3,12.3,7.3,6.5,11.4,0.71,C
91,96.5,50.7,70.5,14.3,6.5,4.5,4.6,0.72,B
92,109.5,55.2,68,14.6,5.9,6,4.1,0.81,B
93,84.5,52.4,63.4,17.3,5.4,6.1,3.1,0.83,B
94,90.1,64.8,68.6,15.8,7.2,5.6,1.3,0.95,B
95,89.1,57.5,71.6,16,7,5,0.6,0.8,B
96,73,56.6,77.6,17.3,7.3,5.6,0.8,0.73,C
97,99.4,61.6,74.4,15.4,5.7,5.8,0,0.83,B
98,98.9,53.5,73.1,16.6,8,7.3,3.4,0.73,B
99,95.1,54.9,70.6,16.5,5.1,4.6,5,0.78,B
100,91.5,58.3,70,13.6,7.1,4.9,0.9,0.83,C
101,73.8,62.1,76.9,17.7,5,5.8,0.3,0.81,C
102,88.7,60,72.7,13.4,5.9,5.2,1.2,0.83,C
103,89.9,59,64.6,16.9,7.7,5.4,1,0.91,B
104,83,58.3,69.6,13.2,7.2,6.6,1.8,0.84,C
105,92.6,59.6,69,16.4,6.1,2.7,0.9,0.86,B
106,101.1,58.8,70.1,18.3,6.1,4.9,1.2,0.84,B
107,123.3,53.9,74,15.2,6.6,3.8,7.1,0.73,B
108,97.6,58.2,71.6,15.1,6.9,4.3,1.2,0.81,B
109,98.9,53.7,71.7,16.4,7.5,7.9,4.6,0.75,B
110,93.9,58.3,76.6,15,6.1,6.1,2.9,0.76,B
111,66.2,56.1,69.6,18.2,5.2,6.5,1.2,0.81,Reject
112,94.6,68.2,78.5,15.8,6.6,5.4,5.1,0.87,B
113,95.9,57.8,69.7,15,6.1,6.3,2.7,0.83,B
114,131.9,52.4,72.3,14.7,5.5,3.7,0,0.72,B
115,92.1,57.5,71,14.1,6.7,6.5,0.2,0.81,B
116,99.5,60.1,72.4,14.6,6.3,4.7,4.2,0.83,B
117,94.5,64.7,73.6,15,6.7,5,1.8,0.88,B
118,77.5,55.6,73.5,14.8,5.8,6,1.6,0.76,C
119,112.1,51.7,69.4,14.5,6.9,5.8,0.5,0.74,B
120,106.3,61.3,68.1,18.6,5.4,5.6,0.5,0.9,B
121,106.9,52.5,80.8,14,5.8,4.1,4.8,0.65,C
122,81.4,56.3,70.3,15.7,6.3,5.6,5.3,0.8,B
123,116,57,74.4,16.4,7.9,6.5,2.5,0.77,A
124,74,57.7,66.4,16.4,7.1,5,1,0.87,C
125,103.8,60.8,71,15.4,7.4,6.8,8.1,0.86,B
126,127.9,55.3,71.6,15.1,7.6,4.6,2.9,0.77,B
127,80.1,56.9,73.7,16.2,9,5.5,4.8,0.77,B
128,86.5,57.9,62.5,15.9,6.5,7,0,0.93,B
129,96.5,58.6,72.6,15.1,7.6,4.8,1.8,0.81,B
130,87.4,58.4,68,13.2,7.3,6.6,6.1,0.86,C
131,71.7,59.7,73.1,14.8,7.3,7.5,1.2,0.82,C
132,96,61.4,68.4,13.8,7.9,5.7,3.9,0.9,C
133,79.1,59.6,69,14.5,6.2,5,3.2,0.86,C
134,102.1,59.8,71,15.5,6.1,4.7,0.5,0.84,B
135,81.2,51.7,68.3,16,6.8,6.8,4.5,0.76,B
136,118.2,58.2,70.3,18.2,6.4,6.8,0.4,0.83,B
137,83.3,59.9,67.8,14.7,6.8,6.9,3.9,0.88,B
138,90.2,60.9,65.6,16.7,7.8,5.5,14.1,0.93,C
139,107.2,55.2,75.6,16,6.1,6.5,9.5,0.73,B
140,76.5,55.4,67.5,17.4,6.3,5.5,4.8,0.82,C
141,98.4,55.7,71.4,16.4,6.6,4.6,2.3,0.78,A
142,114.6,60.1,74.6,14,6.3,6.6,3.4,0.81,C
143,70.9,62.1,69.8,12.9,5,7.1,3.9,0.89,C
144,97.8,56.4,69.1,16,6,4.5,0,0.82,B
145,98.9,61.6,72.8,14.7,7,4.5,0.3,0.85,B
146,106.7,58.5,75.9,14,7.7,5.5,2.7,0.77,B
147,76.4,57.5,67.9,13.6,5.6,6.5,0,0.85,C
148,75.2,57.2,71.5,15.7,5.6,4.4,7.2,0.8,C
149,102.8,61,65.9,17.8,6.5,5.7,2,0.92,A
150,99.5,59.3,70.6,14.9,4.8,4.9,0.9,0.84,B
151,98.8,67.1,72.1,16.4,6.1,6.2,1.5,0.93,B
152,100.2,54.6,69,15.3,5.1,4.7,5.7,0.79,B
153,84.8,60.1,70.4,13.6,7.6,6.3,7.9,0.85,C
154,98.5,55.9,67.1,16.6,5.9,5.3,0.4,0.83,B
155,99.4,54.5,72.3,13.9,7.8,4.6,4.5,0.75,C
156,84.3,58,75.7,15.5,7.4,5.6,2.6,0.77,B
157,123,58.5,68.2,15,6,3.6,2.6,0.86,B
158,102.1,69.7,69.8,16.8,5.6,4.9,4.5,1,B
159,77.1,57.3,73.8,13.9,6.3,5.8,0.8,0.78,C
160,104.8,53.5,76.2,16.1,6.4,3.7,2.3,0.7,B
161,80.4,59.1,66.8,14.2,6.8,2.9,1.2,0.88,B
162,106.8,49.7,71.4,14.7,5.9,3.2,0.3,0.7,B
163,112.4,57.6,73,10,7.1,6.8,0.3,0.79,C
164,82.7,58.1,71.6,18.6,6.7,5.4,0.4,0.81,B
165,109.5,61.2,63.3,16.3,6.2,5,2.9,0.97,B
166,101.2,61.9,73.8,14.3,5.9,6.4,0.3,0.84,B
167,107.3,56,77.3,13.8,6.4,5.1,2.5,0.72,C
168,123.5,57.4,72.4,14.8,5.8,5.8,2.7,0.79,B
169,91.3,54.9,68.4,16.6,6.5,5.5,7,0.8,B
170,83.7,53.5,70.2,12.7,6.6,5,3,0.76,C
171,81.7,59.2,78.2,15.3,6.7,5.8,12.7,0.76,C
172,82.8,52.9,75.2,18.2,7.9,6.3,0.1,0.7,B
173,93.8,56.3,74.2,13.8,6.4,5.3,3.7,0.76,C
174,100.1,54,73.2,15.6,7.3,5,0.1,0.74,B
175,99.2,60.2,69.7,18.8,6.7,5.2,3.9,0.86,A
176,107.4,65.2,71.3,16.4,6.3,3.2,1.5,0.91,B
177,95.2,52.8,71.7,15.7,6.4,5.8,2.8,0.74,B
178,116.8,50.6,73.9,16.3,6.5,4.3,1.1,0.68,B
179,91,57.5,77.3,14.9,6.7,6.1,0.5,0.74,B
180,135.8,58.1,75.9,17.4,5.7,5.4,3.9,0.76,B
181,104.4,58.9,67,14.9,5.3,5.6,7,0.88,B
182,82.1,56.2,72.8,12.6,7,6.2,0.6,0.77,C
183,78.9,57.2,74.6,14.9,7.2,4.6,7.6,0.77,C
184,102.2,59.5,74.2,14,7.1,5.9,0.5,0.8,B
185,91.6,62.2,69.8,15.1,6.6,5.8,4,0.89,B
186,105.7,50.2,82.2,15.1,7.1,5.3,9.6,0.61,B
187,102.1,56.5,67.5,17.3,7.1,4.6,0.5,0.84,A
188,93.9,58.9,68.2,16.5,7.1,6.1,1.7,0.86,A
189,82.3,54.3,72.8,15.9,5.8,6.2,1.2,0.75,B
190,72.3,64.9,79.4,15.5,5.6,5.6,1.5,0.82,C
191,88.3,55.5,69.1,13.9,6.2,4.4,4.2,0.8,C
192,107.8,57.8,71.1,12.2,6.5,5,3.2,0.81,C
193,98.2,60.2,75.8,15.7,6.3,5.4,10.4,0.79,C
194,76.3,55.6,71.9,16.7,5,6.2,0.6,0.77,C
195,97.6,50.6,70.8,15.3,7.9,3.9,2.4,0.71,B
196,100.8,56.3,74,14.7,6.3,4.9,1.8,0.76,B
197,81.7,62.1,73,16.2,6.6,5.1,7.5,0.85,B
198,97.3,56.7,75.6,15.4,7.5,5.4,0,0.75,B
199,95.9,54.6,76.5,18,4.6,4.2,13.6,0.71,C
200,77.9,61.7,73.1,17.3,6.1,5.3,2,0.84,C
201,100.4,56.7,73,16.9,6.2,5.2,2.9,0.78,B
202,103.4,56,72.7,16.6,6.2,4.5,1.3,0.77,B
203,111.2,58.6,73.7,13.6,6.4,5.4,5.7,0.79,C
204,110.8,61.1,72.2,16.5,7.7,5,2.5,0.85,A
205,74.3,67.5,72,16.1,7,6,3.3,0.94,C
206,80.9,61.3,76.2,16.4,7.3,4.6,3.1,0.8,B
207,102.7,62.6,77.3,16.2,6.5,5.6,1.4,0.81,A
208,102.7,56,66.7,16.2,5.4,4.7,0.2,0.84,B
209,102.7,53.9,72,19.6,4.8,4.9,4.9,0.75,B
210,150,58.2,69.6,15.4,5.3,5.8,1,0.84,B
211,103.6,58.4,70.9,16.9,6.8,5.7,5.7,0.82,B
212,112,53.7,73.4,14.8,6.5,5.1,2.8,0.73,B
213,109.3,57.3,74.3,16.7,6.3,5.2,1.3,0.77,B
214,104.8,59.6,71.6,16.9,6.2,4,2.7,0.83,B
215,90.3,59.4,65.3,16,8.1,6.9,3.1,0.91,A
216,106.4,60,68.6,18,5.8,6.2,3.7,0.87,B
217,83.4,59.2,75.1,14.2,7.2,6.2,5.2,0.79,B
218,91.4,56,62.4,14.8,6.5,3.9,0.5,0.9,B
219,87.7,55.9,76.2,15.8,6.5,4.9,8.7,0.73,B
220,96.2,53.2,73.8,16.8,7.4,5.2,1.6,0.72,A
221,129.7,65.1,76.6,15.8,7.7,3.6,5.9,0.85,B
222,67,58.1,71.3,17.4,6.3,6.4,0.7,0.81,Reject
223,105.3,57.1,64.8,14.5,7.1,7,0.1,0.88,B
224,70.8,54.3,73.5,13.8,6.8,7.6,2.6,0.74,C
225,87.9,69.7,76.5,16,6.5,4.5,1.2,0.91,B
226,111.3,53.7,75.2,15.4,6.7,5.6,12.5,0.71,C
227,96,56.3,69.7,16.3,5.9,6.8,0.3,0.81,B
228,78.8,59.7,72.3,15.5,6.3,5.2,0.1,0.83,C
229,84.3,60.4,70.1,15,6,4.9,0.1,0.86,B
230,105.2,61.8,69.1,15.4,7.2,3.6,0.7,0.89,B
231,84,65.2,75.3,15.5,6.4,6.6,2.6,0.87,B
232,98.2,60,67.8,15,5.5,5.5,2.1,0.89,B
233,95.7,53.8,68.9,15.2,5.9,4.8,1.3,0.78,B
234,85.2,57,68.1,14.9,4.5,5.8,0.3,0.84,B
235,127.2,59.2,66.8,16.8,6.1,5.7,0.8,0.89,B
236,104.5,66.3,72.5,15.8,6.5,5.7,0.6,0.91,B
237,64.6,52.4,76.1,18.9,6.4,5.3,4.1,0.69,Reject
238,97.8,62.8,71.4,15.7,8.1,7.1,4.5,0.88,B
239,85.1,58.7,66.7,14.7,7,5.4,4.5,0.88,B
240,107.8,61.4,74.9,19.5,6.9,7.1,10.4,0.82,C
241,83.1,57.6,77.9,16.1,5.2,6.1,6.5,0.74,B
242,93.3,54.6,69.7,17,6.2,5.9,2.1,0.78,B
243,102.6,61,70.3,16.4,6.1,5.4,1.6,0.87,B
244,108,60.6,73.8,16.4,5.9,6.5,7.4,0.82,B
245,77,61.9,77.7,16.3,5.9,5.6,2.8,0.8,C
246,90,57.9,70.2,13.8,5.1,4.6,1,0.83,C
247,87.9,55.6,67.3,16.1,5.5,4.5,2.5,0.83,B
248,85.2,51.8,74.2,13.5,7.2,5.9,14.5,0.7,C
249,121.5,61.3,74.8,15.2,6.4,4.6,5.7,0.82,B
250,101.1,59.7,72,14.4,6.1,5.4,1,0.83,B
251,76.1,54.1,70,16,6.5,6.6,9.2,0.77,C
252,108.8,55.8,75.5,16,7.4,5.8,12,0.74,C
253,126.8,56.1,73.8,16.2,6.5,4.8,0.8,0.76,A
254,110.5,52.1,69.3,15.9,6.9,6.9,6.8,0.75,B
255,72.2,54.7,72.2,14.6,5.8,6,6.4,0.76,C
256,87.7,53.5,67.3,15.1,6,6.5,0.1,0.79,B
257,114,56.4,74.4,16.9,6.8,3.2,3.3,0.76,B
258,84.4,55,71.1,17.1,8,5.8,1.1,0.77,B
259,101.7,51.5,70.5,13.8,7.6,6.3,3.4,0.73,C
260,106.6,66.1,71.9,13.2,7,7.2,7.3,0.92,C
261,81.1,63,72.1,14.4,6.6,4,2.1,0.87,B
262,94.1,54.9,75.1,17.1,7.6,6.7,1.6,0.73,A
263,60,59.1,74.1,17.3,7.1,7.1,7.6,0.8,Reject
264,79.6,59.7,71.5,14.1,4.7,3.5,11,0.84,C
265,91.2,62.8,74.7,16,5.7,6,0.2,0.84,B
266,76.3,54.7,73.4,18.3,6.8,6.1,7.7,0.75,C
267,119.5,62.4,70.5,16.1,5.1,5.2,0.3,0.88,B
268,73.5,55.8,71.6,17.6,5.8,5,1.2,0.78,C
269,88.4,52.7,71.5,17,5.9,6.2,4.3,0.74,B
270,97,60.9,73.8,14.1,6.3,4.9,4.5,0.83,B
271,116.6,63.2,70.7,15.2,6.3,5.3,3.9,0.89,B
272,73.5,68.4,70.6,15.6,6.3,6.3,0.1,0.97,C
273,112.4,53.2,78.9,15.7,7.2,7.3,0.4,0.67,B
274,95.2,60.8,75.3,16.9,6.3,6,8.3,0.81,B
275,80.3,56.4,69.3,16.1,6.2,5.6,0.3,0.81,B
276,101.9,61.1,74,11.1,5.4,5,0.2,0.83,C
277,98,52.1,72.4,13.5,7.3,4.5,5.4,0.72,C
278,86,52.9,73.4,12.2,6,6.6,3.1,0.72,C
279,96,54.9,72.5,15.8,5.6,5.3,1.3,0.76,B
280,89.2,58.3,76.2,15.9,6.7,6.7,0.5,0.77,B
281,96.7,55.4,73.2,15.9,5.9,5.2,6.5,0.76,B
282,104.9,60.6,71.8,14.1,6.1,4.9,13.4,0.84,C
283,118.8,62.1,75.6,16.5,6.7,5.9,0.2,0.82,A
284,76.4,60.4,72.8,16.6,6.2,5.4,2.4,0.83,C
285,127,64.5,72.4,13.6,8.3,4.3,0.9,0.89,C
286,65.7,59.7,73.1,13.3,6.4,7.3,5.4,0.82,Reject
287,92.7,53.1,71.7,15.5,7,4.9,1.3,0.74,B
288,103.8,63.5,72,18.2,4.9,6.4,3.8,0.88,B
289,99.2,55.6,69.9,18,5.8,6.3,2.3,0.79,B
290,85.7,61.6,69.4,16.3,5.6,4.2,2.3,0.89,B
291,91.9,64.3,68.5,14.4,5.7,4.5,5.9,0.94,B
292,87.6,59.8,67.1,16.8,6.8,5.2,1.9,0.89,B
293,86.2,52,68.9,14.8,7.3,4.6,5.6,0.75,B
294,107.7,54.3,71.4,14.3,6.8,7.2,1.4,0.76,B
295,100.4,63.3,72.4,12.3,6.3,5.3,0.6,0.87,C
296,84.6,57.3,71.1,15.7,6,6.4,1.8,0.81,B
297,108.5,58.3,63.8,14.6,7.4,6,2.1,0.91,B
298,99.6,61,77.5,15.6,8.2,5.8,2,0.79,B
299,107.2,60.8,75.8,12.1,6.6,5.5,5,0.8,C
300,104.4,59.1,73.6,15.8,7.3,6.7,2.5,0.8,B
301,82.6,57.2,78.7,11.9,6.8,4.7,6.6,0.73,C
302,86.6,56.7,68.6,17.1,7.1,7.2,2.2,0.83,B
303,106.2,61.4,78.6,16.3,5.6,4.2,0.8,0.78,B
304,104.2,60.2,68.6,15.1,6.1,6.3,0.4,0.88,B
305,94.7,57,72.8,16.3,6.8,4.1,6.1,0.78,B
306,96.8,62.3,67.5,14,7.5,5.2,0.2,0.92,B
307,114.2,57.5,72.1,15.6,5.8,5.6,0.4,0.8,B
308,86.1,54.6,73.4,16.7,4.9,5,0.2,0.74,B
309,103.2,55,71.5,10.9,6.1,5.3,1.7,0.77,C
310,92,54.1,74.5,14.8,7.3,4.1,2.3,0.73,B
311,91.7,56.9,72.3,15.5,5.2,4.5,0.1,0.79,B
312,111.5,62.9,70.2,15.2,5.6,6,2.2,0.9,B
313,107.4,54.8,70,17.7,6.6,5.5,1.5,0.78,A
314,107.2,58.8,74.8,13.8,6.4,4.8,4.5,0.79,C
315,114.6,55.4,69.7,14.6,7,6.8,5.3,0.79,B
316,95.3,57,75.2,12.6,5.5,4.3,3.5,0.76,C
317,105.2,52,76.3,17.8,6.2,5.1,1.9,0.68,B
318,90.3,57.1,66.2,15.1,7.5,5,0.7,0.86,B
319,99.9,57.2,76,14.8,5.5,6.1,5.6,0.75,B
320,93,60.2,79.2,15.4,7.7,5.5,1.3,0.76,B
321,96.5,58.9,72.9,16.5,5.6,5.4,1.3,0.81,B
322,103.9,53.2,74.1,16,7.2,3.7,7.4,0.72,B
323,82.7,62.3,75.6,19.5,6.2,6.4,11.1,0.82,C
324,126.4,58.8,71,16.2,5.6,5.3,6.9,0.83,B
325,79.9,58.8,72.6,14.8,6.1,5.6,19,0.81,C
326,76.8,58,67.4,14.7,6.9,4.8,6.1,0.86,C
327,112.4,55.9,72.5,14.9,6.5,4.6,3.7,0.77,B
328,106.9,58.9,73.7,13.2,7.4,7,1,0.8,C
329,104.4,59.9,73.8,15.6,7.6,3.7,9.2,0.81,B
330,104.4,51,75.7,16.7,5.6,4.4,6.3,0.67,B
331,94.8,55.8,69.3,14.6,5.5,7,0.8,0.81,B
332,81.5,57,70.1,14.3,5.5,6.1,2,0.81,B
333,96.1,59,78.6,17.8,5.8,5.2,0.2,0.75,B
334,84.8,62.8,71.5,13.4,7.4,6.7,9.2,0.88,C
335,109.6,54.9,72.7,12.4,6.9,5.9,2.6,0.76,C
336,92.8,56,71.8,13.8,6.1,5.7,0.8,0.78,C
337,82.6,55.9,69.1,13.2,6.5,5.7,1,0.81,C
338,90.2,54.8,77.7,16.1,7.6,6,11.8,0.71,C
339,101.2,56.6,70.2,15,8,6,2.9,0.81,B
340,86.5,61.1,68.1,15.2,6.7,7.7,1.6,0.9,B
341,82.7,53.8,70.4,17.2,4.5,5.3,2.1,0.76,B
342,98.7,59.7,65,14.5,6.7,5.3,0.3,0.92,B
343,98.7,51.2,69.7,16.7,7.2,4.3,0.2,0.73,B
344,87.4,55.8,68.6,17.8,6.7,5.4,2.7,0.81,B
345,87.9,56.7,74.2,14.8,7.1,7.4,2.2,0.76,B
346,98.5,64.7,69.6,16.6,6.8,6.5,1.3,0.93,A
347,73.3,56.9,75.1,15.1,5.5,5,2.5,0.76,C
348,73.9,49.2,76.9,16.9,5.8,5.5,0.2,0.64,C
349,84.2,50,74.7,13.1,6.2,4.2,8.6,0.67,C
350,91.8,58.1,71.2,13,7.4,4.5,1,0.82,C
351,99.7,60.5,72.5,14.9,5.9,5.6,0.2,0.83,B
352,117.1,59.5,66.7,14.2,6.9,5,0.6,0.89,B
353,107.9,58.7,71.5,14.7,6.7,4.5,0.3,0.82,B
354,92.6,62.6,69,15.2,7.8,6,0.6,0.91,B
355,94.7,55.8,74.4,16.6,6.5,5.4,1.6,0.75,B
356,80,61.6,81,14.9,5.1,3.9,4,0.76,C
357,94.7,51.5,73.7,14.3,7,3.4,1,0.7,B
358,90.7,54.4,65,15,8.2,4.9,1.7,0.84,B
359,99.8,50.8,70.7,14.3,7.1,3.9,7.9,0.72,B
360,82.6,56.9,72.4,14.1,5.9,3.6,1.1,0.79,B
361,102.8,57.8,72.3,13.1,5.6,6.6,4.8,0.8,C
362,118,58.5,69.4,15.6,5.7,5.4,0.5,0.84,B
363,93.4,58.2,72.9,14.6,8.1,5.2,0.6,0.8,B
364,101,54.3,67.7,16.9,6.2,5.3,1.8,0.8,B
365,105.4,57.2,68.7,13.3,6,4.4,0.8,0.83,C
366,89,52,74.3,14.7,6.4,5.9,7,0.7,B
367,98.4,63.5,68.4,18.2,6.2,5.4,0.2,0.93,B
368,95.2,56.8,73.9,14.1,7.8,4.7,2.7,0.77,B
369,96.5,56,67.2,15.1,5.7,4.9,2.8,0.83,B
370,83.4,64.4,78.2,13.7,7.4,4.3,0.2,0.82,C
371,95.4,53,69.3,13.5,6.6,5.1,4,0.77,C
372,102.5,53.5,71.2,17.8,7.5,5.3,1.9,0.75,A
373,116.8,53.6,73.2,15.8,7.8,5.1,3.9,0.73,B
374,109.4,57.7,70,15.7,6.6,5.6,5.3,0.82,B
375,127.3,59.7,72.5,13,6.2,5.4,1.2,0.82,C
376,83.5,61,74,16,6.6,5.7,2,0.82,B
377,108.1,68.3,75.4,17.2,6.4,6.4,0.9,0.91,B
378,97.8,49,74.8,17.2,5.2,6.1,0.7,0.66,B
379,127.8,60.4,71.4,16.5,7.7,6.5,0,0.85,A
380,82.9,55.8,71.5,13.8,6.7,4.7,9.9,0.78,C
381,82.4,55.7,80.2,16,5.6,5,1.7,0.69,B
382,86,55.5,75.3,16.5,4.8,6.2,0,0.74,B
383,63.1,54.4,68.8,12.8,4.6,6.2,0,0.79,Reject
384,87.1,64.7,72.3,13.8,7.1,4.8,1,0.89,C
385,83.6,61.4,70.8,16.8,6,6.1,0,0.87,B
386,97.3,58.1,71.5,16.8,6.1,4.6,1.4,0.81,B
387,100.1,63.4,67.7,13.2,6.9,6,0.2,0.94,C
388,123.1,51.9,70.6,16.7,6.1,5.5,0.1,0.74,B
389,109.3,52.7,78.3,15.6,6.9,4.1,3.3,0.67,B
390,86.3,49.3,74,16.7,6.6,5.1,7.1,0.67,B
391,81.5,55.2,63.3,14.5,6.4,7.7,1.6,0.87,B
392,102.4,58.6,76.3,16.5,5.2,5.7,5.4,0.77,B
393,75.2,58.4,75.8,16.8,5.8,7.8,0.1,0.77,C
394,122.5,58.6,70.7,15,7,4.1,4.5,0.83,B
395,112.7,52.4,74.5,15.5,6,6.3,0.2,0.7,B
396,88,61.2,69,14.5,7.5,3,5.5,0.89,B
397,69.3,59,70.4,18,8.4,5.5,6.4,0.84,Reject
398,115.3,60.9,77.2,15.3,7,6.1,4.6,0.79,B
399,93.3,50.4,71,14.1,7.7,6.3,5.2,0.71,B
400,113.6,59.2,65.5,14.4,7.1,4.7,2.5,0.91,B
